Location,Sequence Number,SSID,MAC Address,RSSI value
CEP105,1,Attendance,34:15:93:5C:E7:93,-63
CEP105,1,DAIICT_STAFF,34:15:93:5C:E7:90,-64
CEP105,1,DAIICT_Student,34:15:93:5C:E7:91,-64
CEP105,1,DA_Public,34:15:93:5C:E7:92,-64
CEP105,1,ESP_9453FB,36:94:54:94:53:FB,-77
CEP105,1,ESP_945422,36:94:54:94:54:22,-80
CEP105,1,ESP_8A3238,36:94:54:8A:32:38,-81
CEP105,1,DAIICT_STAFF,70:47:77:68:BE:60,-81
CEP105,1,DAIICT_Student,70:47:77:68:BE:61,-81
CEP105,1,Attendance,78:9F:6A:7B:DC:A3,-81
CEP105,1,DAIICT_STAFF,78:9F:6A:7B:DC:A0,-81
CEP105,1,DAIICT_Student,78:9F:6A:7B:DC:A1,-81
CEP105,1,ESP_6A8C22,52:02:91:6A:8C:22,-82
CEP105,1,SRL_24*7*365,50:3D:D1:40:FE:6F,-82
CEP105,1,DA_Public,78:9F:6A:7B:DC:A2,-82
CEP105,1,HP-Print-79-LaserJet Pro M202dw,4C:D5:77:21:21:79,-83
CEP105,1,DA_Public,70:47:77:68:BE:62,-83
CEP105,1,Galaxy A55,2A:1D:BF:79:B6:54,-84
CEP105,1,c2slab.daiict.ac.in,1C:CE:51:7B:33:17,-85
CEP105,1,Attendance,B0:7C:51:51:C7:A3,-87
CEP105,1,DAIICT_STAFF,B0:7C:51:51:C7:A0,-87
CEP105,1,DAIICT_Student,B0:7C:51:51:C7:A1,-87
CEP105,1,Galaxy A35 5G 73D6,FA:62:BB:15:48:66,-88
CEP105,1,DAIICT_Student,C8:A6:08:45:29:D1,-88
CEP105,1,DA_Public,C8:A6:08:45:29:D2,-88
CEP105,1,DA_Public,B0:7C:51:51:C7:A2,-89
CEP105,1,Attendance,C8:A6:08:45:29:D3,-89
CEP105,2,Attendance,34:15:93:5C:E7:93,-60
CEP105,2,DAIICT_STAFF,34:15:93:5C:E7:90,-61
CEP105,2,DAIICT_Student,34:15:93:5C:E7:91,-61
CEP105,2,DA_Public,34:15:93:5C:E7:92,-61
CEP105,2,DAIICT_STAFF,78:9F:6A:7B:DC:A0,-76
CEP105,2,DAIICT_Student,78:9F:6A:7B:DC:A1,-76
CEP105,2,DA_Public,78:9F:6A:7B:DC:A2,-76
CEP105,2,Attendance,78:9F:6A:7B:DC:A3,-76
CEP105,2,SRL_24*7*365,50:3D:D1:40:FE:6F,-80
CEP105,2,DAIICT_STAFF,B0:7C:51:51:D6:20,-84
CEP105,2,DAIICT_Student,B0:7C:51:51:D6:21,-85
CEP105,2,DA_Public,B0:7C:51:51:D6:22,-85
CEP105,2,Attendance,B0:7C:51:51:D6:23,-85
CEP105,2,DAIICT_Student,B0:7C:51:51:C7:A1,-86
CEP105,2,HP-Print-79-LaserJet Pro M202dw,4C:D5:77:21:21:79,-87
CEP105,2,DA_Public,B0:7C:51:51:C7:A2,-87
CEP105,2,ESP_8A3238,36:94:54:8A:32:38,-87
CEP105,2,ESP_945422,36:94:54:94:54:22,-87
CEP105,2,DAIICT_STAFF,B0:7C:51:51:C7:A0,-88
CEP105,2,Attendance,B0:7C:51:51:C7:A3,-88
CEP105,2,Attendance,70:47:77:68:BE:63,-88
CEP105,2,AndroidAP_6912,96:C6:12:9B:E7:4D,-89
CEP105,2,ESP_6A8C22,52:02:91:6A:8C:22,-90
